ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
2485,Slider Barbell Back Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Barbell,1,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2486,Slider Barbell Zercher Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Barbell,1,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2487,Slider Bulgarian Bag Back Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Bulgarian Bag,1,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2488,Slider Double Kettlebell Suitcase Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2489,Slider Double Kettlebell Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,2,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2490,Slider Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2491,Slider Double Kettlebell Bottoms Up Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2492,Slider Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2493,Slider Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2494,Slider Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2495,Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2496,Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2497,Slider Double Dumbbell Front Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2498,Slider Double Dumbbell Suitcase Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2499,Slider Double Dumbbell Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,2,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2500,Slider Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2501,Slider Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2502,Slider Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2503,Slider Dumbbell Goblet Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2504,Slider Kettlebell Horn Grip Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Double Arm,Continuous,Horn Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2505,Slider Kettlebell Goblet Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2506,Slider Clubbell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Clubbell,1,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2507,Slider Double Clubbell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Clubbell,2,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2508,Slider Single Arm Clubbell Order Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2509,Slider Macebell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Macebell,1,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2510,Slider Single Arm Macebell Order Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2511,Slider Curtsy Lunge,Video Demonstration,,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
2512,Slider Plate Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Weight Plate,1,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2513,Slider Sandbag Front Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Sandbag,1,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2514,Slider Sandbag Back Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Sandbag,1,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2515,Slider Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2516,Slider Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2517,Slider Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2518,Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2519,Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Kettlebell,1,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2520,Slider Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2521,Slider Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2522,Slider Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Dumbbell,1,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2523,Slider Single Arm Clubbell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Clubbell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2524,Slider Single Arm Macebell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sliders,1.0,Macebell,1,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2525,Kettlebell Goblet Cyclist Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,Slant Board,1,Standing,Double Arm,Continuous,Goblet,Front Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
2526,Kettlebell Goblet Knee Over Toe Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2527,Kettlebell Goblet Foot Elevated Knee Over Toe Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Knee Over Toe Split Squat,Double Arm,Continuous,Goblet,Front Rack,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2528,Dumbbell Goblet Walking Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Walking,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2529,Ring Maltese,Video Demonstration,,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics
2530,Barbell Front Rack Curtsy Lunge,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2531,Double Kettlebell Front Rack Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2532,Suspension Curtsy Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Gluteus Maximus,,,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2533,Barbell Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2534,Barbell Back Rack Curtsy Lunge,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2535,Barbell Zercher Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,None,0,Standing,Double Arm,Continuous,No Grip,Zercher,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2536,Double Kettlebell Suitcase Curtsy Lunge,,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2537,Double Kettlebell Overhead Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2538,Double Kettlebell Bottoms Up Front Rack Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2539,Double Kettlebell Bottoms Up Overhead Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2540,Single Arm Kettlebell Front Rack Contralateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2541,Single Arm Kettlebell Suitcase Contralateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2542,Single Arm Kettlebell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2543,Single Arm Kettlebell Bottoms Up Overhead Contralateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2544,Single Arm Kettlebell Bottoms Up Front Rack Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2545,Double Dumbbell Front Rack Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2546,Double Dumbbell Suitcase Curtsy Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2547,Double Dumbbell Overhead Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2548,Single Arm Dumbbell Front Rack Contralateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2549,Single Arm Dumbbell Suitcase Contralateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2550,Single Arm Dumbbell Overhead Contralateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2551,Dumbbell Goblet Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2552,Kettlebell Horn Grip Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2553,Kettlebell Goblet Curtsy Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2554,Clubbell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2555,Double Clubbell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2556,Single Arm Clubbell Order Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2557,Macebell Order Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2558,Single Arm Macebell Order Contralateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
2559,Bodyweight Curtsy Lunge,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Bodyweight,1.0,None,0,Standing,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics
2560,Plate Overhead Curtsy Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Weight Plate,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2561,Sandbag Front Rack Curtsy Lunge,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2562,Sandbag Back Rack Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Sandbag,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Back Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
2563,Single Arm Kettlebell Front Rack Ipsilateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2564,Single Arm Kettlebell Suitcase Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
